index	STRING_id
289	4932.YBR067C
290	4932.YBR068C
291	4932.YBR069C
292	4932.YBR070C
293	4932.YBR071W
294	4932.YBR072W
295	4932.YBR073W
296	4932.YBR074W
297	4932.YBR077C
298	4932.YBR078W
299	4932.YBR079C
300	4932.YBR080C
301	4932.YBR081C
302	4932.YBR082C
303	4932.YBR083W
304	4932.YBR084C-A
305	4932.YBR084W
306	4932.YBR085C-A
307	4932.YBR085W
308	4932.YBR086C
309	4932.YBR087W
310	4932.YBR088C
311	4932.YBR089C-A
312	4932.YBR089W
313	4932.YBR090C
314	4932.YBR091C
315	4932.YBR092C
316	4932.YBR093C
317	4932.YBR094W
318	4932.YBR095C
319	4932.YBR096W
320	4932.YBR097W
321	4932.YBR098W
322	4932.YBR099C
323	4932.YBR101C
324	4932.YBR102C
325	4932.YBR103W
326	4932.YBR104W
327	4932.YBR105C
328	4932.YBR106W
329	4932.YBR107C
330	4932.YBR108W
331	4932.YBR109C
332	4932.YBR109W-A
333	4932.YBR110W
334	4932.YBR111C
335	4932.YBR111W-A
336	4932.YBR112C
337	4932.YBR114W
338	4932.YBR115C
339	4932.YBR116C
340	4932.YBR117C
341	4932.YBR118W
342	4932.YBR119W
343	4932.YBR120C
344	4932.YBR121C
345	4932.YBR122C
346	4932.YBR123C
347	4932.YBR125C
348	4932.YBR126C
349	4932.YBR126W-A
350	4932.YBR127C
351	4932.YBR128C
352	4932.YBR129C
353	4932.YBR130C
354	4932.YBR131W
355	4932.YBR132C
356	4932.YBR133C
357	4932.YBR134W
358	4932.YBR135W
359	4932.YBR136W
360	4932.YBR137W
361	4932.YBR138C
362	4932.YBR139W
363	4932.YBR140C
364	4932.YBR141C
365	4932.YBR142W
366	4932.YBR143C
367	4932.YBR145W
368	4932.YBR146W
369	4932.YBR147W
370	4932.YBR148W
371	4932.YBR149W
372	4932.YBR150C
373	4932.YBR151W
374	4932.YBR152W
375	4932.YBR153W
376	4932.YBR154C
377	4932.YBR155W
378	4932.YBR156C
379	4932.YBR157C
380	4932.YBR158W
381	4932.YBR159W
382	4932.YBR160W
383	4932.YBR161W
384	4932.YBR162C
385	4932.YBR162W-A
386	4932.YBR163W
387	4932.YBR164C
388	4932.YBR165W
389	4932.YBR166C
390	4932.YBR167C
391	4932.YBR168W
392	4932.YBR169C
393	4932.YBR170C
394	4932.YBR171W
395	4932.YBR172C
396	4932.YBR173C
397	4932.YBR175W
